,city,URL,title,date,time,venue,details,user,tags
92,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @pwponderings,[]
93,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @GCWrestling_,[]
94,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @RealSOGAN,"['aew', 'aewdynamite']"
95,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @themoe853,[]
96,Seattle,N/A,N/A,N/A,N/A,N/A,"are you heading to see @kevinhart4real at @seattlecenter  for a little comedic relief tonight, #seattle? save a little $ on parking by riding with #helloyellow. 

https://t.co/remvljwyq9

#seattlewashington #seattleevents #seattleweekend",Twitter User @SEAYellowCab,"['seattle', 'helloyellow', 'seattlewashington', 'seattleevents', 'seattleweekend']"
97,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @jackcartwheel,[]
98,Seattle,N/A,N/A,N/A,N/A,N/A,"free class | join us jan 4 for the introduction to government for girls webinar. girls, ages 7-10, learn about government structure, elections &amp; ways to participate in civic life. tickets ➡️ https://t.co/inn39bjz1x #seattle #pheonix #boise #denver #albuquerque #sanantonio",Twitter User @GirlsinPolitics,"['seattle', 'pheonix', 'boise', 'denver', 'albuquerque', 'sanantonio']"
99,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @AngelOfficial91,[]
100,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @october7439,"['aew', 'aewdynamite']"
101,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @yellow_roni,[]
102,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @HkAuthor,"['aew', 'aewdynamite']"
103,Seattle,N/A,N/A,N/A,N/A,N/A,rt @thenickwayne: i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now.…,Twitter User @CharlotteKyoto,[]
104,Seattle,N/A,N/A,N/A,N/A,N/A,"i sadly wasn’t able to attend last nights or tonight’s gcw events due to the amount of snow we have in seattle right now. i appreciate everyone who’s reached out to make sure things are okay, i deeply apologize to everyone for not being able to make it❤️",Twitter User @thenickwayne,[]
105,Seattle,N/A,N/A,N/A,N/A,N/A,rt @spusports: it's fall festival week! click the link below for fan information about the massive events that take place in seattle this w…,Twitter User @IsThatJoseph04,[]
106,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @DylanUlrich64,"['aew', 'aewdynamite']"
107,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @abadon_AEW,"['aew', 'aewdynamite']"
108,Seattle,N/A,N/A,N/A,N/A,N/A,"holiday traditions new @seattledsa events attract people back to the heart of the city. lotus seattle radio partners w/ @qfcgrocery food drive, @salvationarmynw toy &amp; joy drive all in the latest #pugetsoundnow podcast @newsradionw, https://t.co/xvlqe9sg4q",Twitter User @sportwithswartz,['pugetsoundnow']
109,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @robertgreene: i am very excited to announce two conversations i’ll be having with my former mentee and friend, @ryanholiday. hope you d…",Twitter User @mcleannnnnnn,[]
110,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @Awsom_1,"['aew', 'aewdynamite']"
111,Seattle,N/A,N/A,N/A,N/A,N/A,"seattle has been exposed  “seahawks at rams” 
https://t.co/bdnknlidm2",Twitter User @CT88480339,[]
112,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @superpidge,"['aew', 'aewdynamite']"
113,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @Andy3150Max,"['aew', 'aewdynamite']"
114,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @They_Live_1988,"['aew', 'aewdynamite']"
115,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @WrestleNova,"['aew', 'aewdynamite']"
116,Seattle,N/A,N/A,N/A,N/A,N/A,"whether you’re ready or not.
https://t.co/2wiialluwt",Twitter User @SeattleMet,[]
117,Seattle,N/A,N/A,N/A,N/A,N/A,rt @pugetsupport: a weekend of letter writing and card making coming up at @pipsqueak206. saturday dec 3rd with beyond the walls and black…,Twitter User @genderended,[]
118,Seattle,N/A,N/A,N/A,N/A,N/A,seattle soccer film festival at siff film center https://t.co/ij0trur7dy who is going?,Twitter User @PSG_Seattle,[]
119,Seattle,N/A,N/A,N/A,N/A,N/A,"@midrangeruss @statmuse ofc he is the best qb in the history, buy his entire career has been full of lucky events,like the sb vs seattle or the one against atl
here's a video of his lucky moments on the playoffs, sure he's the  but he had been lucky throughout his entire career
https://t.co/q18yrbjywv",Twitter User @Emiliox_e,[]
120,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @seattleboba: ❄️ poll for 2023 events ❄️

reply with your favorite bubble tea and dessert places in seattle and the surrounding area!…",Twitter User @honeymingi,[]
121,Seattle,N/A,N/A,N/A,N/A,N/A,rt @king5seattle: beloved show teatro zinzanni returns home to seattle - what's up this week https://t.co/wwwfgotjeg,Twitter User @MySeattleNews,[]
122,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @jr_bagman,"['aew', 'aewdynamite']"
